time_open_sec,time_close_sec,open,high,low,close,rsi14,dow
1704286800,1704290400,2045.74900000,2047.98200000,2038.64000000,2040.97400000,21.588131,3
1704290400,1704294000,2041.02700000,2042.29400000,2031.68200000,2037.82100000,19.684475,3
1704294000,1704297600,2037.77000000,2048.76700000,2031.78000000,2032.55200000,16.988492,3
1704297600,1704301200,2032.60100000,2036.04900000,2031.25000000,2032.37500000,16.904733,3
1704301200,1704304800,2032.42300000,2033.77900000,2030.54100000,2033.30300000,19.155278,3
1704304800,1704308400,2033.31100000,2036.33100000,2032.85700000,2035.75400000,24.937742,3
1704308400,1704312000,2035.76500000,2042.27800000,2030.52200000,2036.62000000,26.926493,3
1704312000,1704315600,2036.58300000,2042.30900000,2036.40500000,2040.95600000,36.060920,3
1704315600,1704319200,2040.99600000,2041.80900000,2040.22200000,2041.17500000,36.492722,3
1704322800,1704326400,2042.00100000,2043.66900000,2041.09100000,2042.66600000,39.488924,3
1704326400,1704330000,2042.65700000,2043.18700000,2041.53300000,2042.09000000,38.728754,4
1704330000,1704333600,2042.08900000,2043.28900000,2040.04400000,2042.19700000,38.963809,4
1704333600,1704337200,2042.20700000,2044.74200000,2042.20700000,2044.58600000,44.118440,4
1704337200,1704340800,2044.61900000,2046.96000000,2044.09200000,2044.68400000,44.326149,4
1704340800,1704344400,2044.68200000,2044.68200000,2042.37000000,2043.01200000,41.492464,4
1704344400,1704348000,2042.99800000,2044.27400000,2042.31100000,2043.77400000,43.272340,4
1704348000,1704351600,2043.78100000,2048.59000000,2043.57100000,2047.20300000,50.560960,4
1704351600,1704355200,2047.16000000,2049.55200000,2046.48200000,2047.59900000,51.338545,4
1704355200,1704358800,2047.65400000,2048.58400000,2045.39500000,2046.76300000,49.566157,4
1704358800,1704362400,2046.71700000,2050.95800000,2046.26700000,2047.99500000,52.185910,4
1704362400,1704366000,2048.02000000,2050.81400000,2046.62500000,2047.88700000,51.931247,4
1704366000,1704369600,2047.88200000,2048.40200000,2044.83000000,2045.13600000,45.800253,4
1704369600,1704373200,2045.13700000,2046.17500000,2043.27300000,2045.85300000,47.538673,4
1704373200,1704376800,2045.86500000,2047.10800000,2038.83100000,2040.15300000,37.296985,4
1704376800,1704380400,2040.20000000,2042.56300000,2036.17400000,2039.26700000,35.998744,4
1704380400,1704384000,2039.29500000,2047.73800000,2039.10700000,2045.04600000,48.572865,4
1704384000,1704387600,2045.08400000,2046.67900000,2044.04300000,2044.63500000,47.852802,4
1704387600,1704391200,2044.68600000,2045.01000000,2040.82500000,2043.19200000,45.312952,4
1704391200,1704394800,2043.20500000,2043.93800000,2041.46000000,2043.12300000,45.189441,4
1704394800,1704398400,2043.07200000,2044.85200000,2042.39500000,2044.29900000,47.800932,4
1704398400,1704402000,2044.28200000,2044.78300000,2042.99800000,2042.99800000,45.233275,4
1704402000,1704405600,2043.06000000,2044.28900000,2043.06000000,2043.29000000,45.935224,4
1704409200,1704412800,2043.25600000,2044.60900000,2042.48500000,2043.86500000,47.365848,4
1704412800,1704416400,2043.91700000,2044.67900000,2043.23500000,2044.25100000,48.353841,5
1704416400,1704420000,2044.26000000,2048.26400000,2043.99900000,2046.13800000,52.998627,5
1704420000,1704423600,2046.13800000,2047.79500000,2045.63900000,2046.13400000,52.987748,5
1704423600,1704427200,2046.13400000,2046.40800000,2044.79300000,2045.32000000,50.706744,5
1704427200,1704430800,2045.27600000,2046.37700000,2044.43800000,2044.59500000,48.696064,5
1704430800,1704434400,2044.55100000,2045.24900000,2043.12800000,2044.45200000,48.289330,5
1704434400,1704438000,2044.45400000,2045.06000000,2040.84700000,2042.42000000,42.816626,5
1704438000,1704441600,2042.42100000,2046.99500000,2042.02700000,2043.12500000,45.139680,5
1704441600,1704445200,2043.14100000,2044.39600000,2041.39300000,2042.38900000,43.168051,5
1704445200,1704448800,2042.34300000,2043.76000000,2038.35800000,2038.83500000,35.177810,5
1704448800,1704452400,2038.89000000,2040.29100000,2037.30900000,2039.94700000,38.983363,5
1704452400,1704456000,2039.91900000,2040.30200000,2037.01700000,2039.15200000,37.297505,5
1704456000,1704459600,2039.13600000,2040.99500000,2038.35900000,2040.11700000,40.652478,5
1704459600,1704463200,2040.16500000,2041.95300000,2024.31800000,2039.92500000,40.191692,5
1704463200,1704466800,2039.88000000,2049.18700000,2038.73500000,2046.85900000,58.490618,5
1704466800,1704470400,2046.94300000,2063.98700000,2046.94300000,2054.77000000,69.831561,5
1704470400,1704474000,2054.82900000,2056.21300000,2044.09900000,2045.06500000,51.310747,5
1704474000,1704477600,2045.09000000,2045.44000000,2040.37000000,2041.95900000,47.013217,5
1704477600,1704481200,2041.91700000,2048.47200000,2040.46800000,2048.13400000,55.070087,5
