time_open_sec,time_close_sec,open,high,low,close,rsi14,dow
1704754800,1704758400,2027.06000000,2028.71000000,2027.06000000,2027.97000000,44.921683,1
1704762000,1704765600,2028.22000000,2030.84000000,2027.91000000,2030.65000000,48.278078,2
1704765600,1704769200,2030.61000000,2034.91000000,2030.61000000,2034.36000000,52.585590,2
1704769200,1704772800,2034.34000000,2035.63000000,2031.16000000,2032.18000000,49.953015,2
1704772800,1704776400,2032.14000000,2035.87000000,2032.09000000,2034.13000000,52.255517,2
1704776400,1704780000,2034.14000000,2034.91000000,2033.00000000,2033.57000000,51.522428,2
1704780000,1704783600,2033.59000000,2034.92000000,2032.24000000,2032.85000000,50.540692,2
1704783600,1704787200,2032.88000000,2033.47000000,2030.29000000,2032.75000000,50.397059,2
1704787200,1704790800,2032.76000000,2035.09000000,2031.16000000,2033.12000000,50.952474,2
1704790800,1704794400,2033.14000000,2037.19000000,2032.17000000,2036.10000000,55.294304,2
1704794400,1704798000,2036.20000000,2038.20000000,2031.31000000,2034.24000000,52.188920,2
1704798000,1704801600,2034.20000000,2036.99000000,2033.13000000,2035.41000000,53.941206,2
1704801600,1704805200,2035.45000000,2038.50000000,2034.78000000,2035.42000000,53.956739,2
1704805200,1704808800,2035.49000000,2035.70000000,2033.67000000,2035.00000000,53.146087,2
1704808800,1704812400,2035.01000000,2036.37000000,2033.92000000,2036.37000000,55.494930,2
1704812400,1704816000,2036.40000000,2041.97000000,2031.62000000,2038.62000000,59.119611,2
1704816000,1704819600,2038.65000000,2040.10000000,2033.89000000,2034.64000000,51.179263,2
1704819600,1704823200,2034.81000000,2035.62000000,2028.73000000,2028.81000000,42.231497,2
1704823200,1704826800,2028.78000000,2031.57000000,2026.02000000,2031.19000000,46.354794,2
1704826800,1704830400,2031.18000000,2032.00000000,2027.04000000,2027.59000000,41.526547,2
1704830400,1704834000,2027.61000000,2029.67000000,2026.78000000,2029.20000000,44.319759,2
1704834000,1704837600,2029.12000000,2030.05000000,2027.77000000,2028.94000000,43.954601,2
1704837600,1704841200,2028.92000000,2031.11000000,2028.25000000,2028.50000000,43.304351,2
1704841200,1704844800,2028.68000000,2030.28000000,2028.48000000,2030.26000000,46.700917,2
1704848400,1704852000,2030.31000000,2031.22000000,2028.32000000,2030.81000000,47.754274,3
1704852000,1704855600,2030.82000000,2031.20000000,2029.60000000,2030.22000000,46.688321,3
1704855600,1704859200,2030.19000000,2032.49000000,2027.23000000,2031.79000000,49.893500,3
1704859200,1704862800,2031.74000000,2032.84000000,2030.30000000,2031.84000000,49.996607,3
1704862800,1704866400,2031.80000000,2031.97000000,2028.09000000,2028.84000000,44.129125,3
1704866400,1704870000,2028.82000000,2030.59000000,2028.39000000,2029.76000000,46.213777,3
1704870000,1704873600,2029.84000000,2030.18000000,2025.43000000,2026.63000000,40.655856,3
1704873600,1704877200,2026.60000000,2026.98000000,2023.82000000,2024.56000000,37.448236,3
1704877200,1704880800,2024.58000000,2031.62000000,2024.29000000,2030.95000000,50.445646,3
1704880800,1704884400,2030.94000000,2035.95000000,2030.23000000,2035.27000000,56.957210,3
1704884400,1704888000,2035.23000000,2036.15000000,2034.62000000,2035.68000000,57.527630,3
1704888000,1704891600,2035.70000000,2040.27000000,2034.54000000,2034.81000000,55.836668,3
1704891600,1704895200,2034.82000000,2035.27000000,2032.75000000,2034.02000000,54.276533,3
1704895200,1704898800,2034.03000000,2035.61000000,2031.27000000,2031.47000000,49.471510,3
1704898800,1704902400,2031.48000000,2034.02000000,2030.01000000,2030.29000000,47.381176,3
1704902400,1704906000,2030.28000000,2033.56000000,2026.41000000,2027.36000000,42.571162,3
1704906000,1704909600,2027.27000000,2029.73000000,2024.75000000,2027.84000000,43.581622,3
1704909600,1704913200,2027.93000000,2028.47000000,2024.69000000,2027.04000000,42.247416,3
1704913200,1704916800,2027.05000000,2027.75000000,2022.23000000,2024.00000000,37.543856,3
1704916800,1704920400,2023.98000000,2024.48000000,2021.31000000,2023.66000000,37.047068,3
1704920400,1704924000,2023.65000000,2024.48000000,2020.43000000,2024.00000000,37.931547,3
1704924000,1704927600,2023.97000000,2025.00000000,2021.83000000,2023.54000000,37.170634,3
1704927600,1704931200,2023.49000000,2024.50000000,2023.32000000,2024.37000000,39.527825,3
1704934800,1704938400,2024.60000000,2027.90000000,2023.75000000,2026.75000000,45.806433,4
1704938400,1704942000,2026.79000000,2028.47000000,2026.54000000,2027.91000000,48.607193,4
1704942000,1704945600,2027.86000000,2030.33000000,2027.06000000,2029.71000000,52.692782,4
1704945600,1704949200,2029.70000000,2031.95000000,2028.84000000,2029.66000000,52.567769,4
1704949200,1704952800,2029.67000000,2031.03000000,2028.75000000,2030.88000000,55.351241,4
1704952800,1704956400,2030.86000000,2032.22000000,2030.86000000,2032.02000000,57.840871,4
1704956400,1704960000,2032.05000000,2034.59000000,2031.10000000,2032.96000000,59.829877,4
1704960000,1704963600,2032.94000000,2035.08000000,2032.13000000,2033.99000000,61.948299,4
1704963600,1704967200,2033.94000000,2035.65000000,2033.60000000,2033.84000000,61.440140,4
1704967200,1704970800,2033.83000000,2034.02000000,2030.41000000,2030.85000000,52.241003,4
1704970800,1704974400,2030.89000000,2032.42000000,2030.14000000,2031.28000000,53.323374,4
1704974400,1704978000,2031.27000000,2032.69000000,2030.48000000,2032.04000000,55.253604,4
1704978000,1704981600,2032.01000000,2034.36000000,2031.33000000,2034.29000000,60.465962,4
1704981600,1704985200,2034.30000000,2035.06000000,2031.59000000,2032.38000000,54.646606,4
1704985200,1704988800,2032.44000000,2046.31000000,2025.06000000,2029.40000000,47.039880,4
1704988800,1704992400,2029.45000000,2034.88000000,2024.85000000,2029.71000000,47.853072,4
1704992400,1704996000,2029.69000000,2033.02000000,2025.14000000,2028.99000000,46.083197,4
1704996000,1704999600,2029.00000000,2029.63000000,2013.62000000,2016.65000000,27.387224,4
1704999600,1705003200,2016.66000000,2018.43000000,2013.28000000,2014.34000000,25.316639,4
1705003200,1705006800,2014.31000000,2017.02000000,2013.80000000,2017.00000000,31.718448,4
1705006800,1705010400,2017.04000000,2027.41000000,2017.04000000,2026.46000000,48.594846,4
1705010400,1705014000,2026.49000000,2028.56000000,2023.47000000,2027.52000000,50.083587,4
1705014000,1705017600,2027.50000000,2029.59000000,2027.39000000,2028.63000000,51.662289,4
1705021200,1705024800,2028.81000000,2035.56000000,2028.69000000,2035.27000000,59.843892,5
1705024800,1705028400,2035.18000000,2035.41000000,2030.27000000,2031.09000000,53.683784,5
1705028400,1705032000,2031.06000000,2034.72000000,2030.04000000,2033.86000000,56.853377,5
1705032000,1705035600,2033.85000000,2035.24000000,2033.22000000,2034.01000000,57.024885,5
1705035600,1705039200,2034.02000000,2035.62000000,2033.68000000,2033.91000000,56.862608,5
1705039200,1705042800,2033.89000000,2035.01000000,2032.82000000,2034.71000000,57.894898,5
1705042800,1705046400,2034.72000000,2037.13000000,2033.70000000,2035.97000000,59.537259,5
1705046400,1705050000,2035.94000000,2036.77000000,2034.86000000,2035.20000000,58.047145,5
1705050000,1705053600,2035.24000000,2039.31000000,2034.14000000,2037.50000000,61.173117,5
1705053600,1705057200,2037.52000000,2039.78000000,2037.00000000,2038.68000000,62.708349,5
1705057200,1705060800,2038.64000000,2040.07000000,2037.82000000,2038.09000000,61.401059,5
1705060800,1705064400,2038.11000000,2046.09000000,2038.01000000,2045.83000000,70.182902,5
1705064400,1705068000,2045.84000000,2047.37000000,2044.11000000,2045.39000000,69.218783,5
1705068000,1705071600,2045.41000000,2053.76000000,2045.41000000,2047.82000000,71.543743,5
1705071600,1705075200,2047.84000000,2056.60000000,2044.36000000,2056.12000000,77.730874,5
1705075200,1705078800,2056.13000000,2062.23000000,2053.31000000,2055.91000000,77.273084,5
1705078800,1705082400,2055.88000000,2060.04000000,2050.88000000,2053.62000000,72.274381,5
1705082400,1705086000,2053.68000000,2055.51000000,2048.24000000,2048.29000000,62.190463,5
1705086000,1705089600,2048.21000000,2048.55000000,2041.46000000,2043.87000000,55.299980,5
1705089600,1705093200,2043.89000000,2048.63000000,2042.97000000,2047.43000000,59.219154,5
1705093200,1705096800,2047.42000000,2049.10000000,2046.17000000,2047.27000000,58.968909,5
1705096800,1705100400,2047.30000000,2047.64000000,2046.04000000,2047.47000000,59.200994,5
1705100400,1705104000,2047.42000000,2049.13000000,2046.83000000,2049.04000000,61.062875,5
1705280400,1705284000,2048.65000000,2048.76000000,2046.30000000,2047.57000000,58.376641,1
1705284000,1705287600,2047.70000000,2048.44000000,2045.78000000,2047.92000000,58.840908,1
1705287600,1705291200,2047.87000000,2051.40000000,2047.41000000,2050.99000000,62.764164,1
1705291200,1705294800,2051.07000000,2056.36000000,2049.84000000,2056.33000000,68.405477,1
1705294800,1705298400,2056.32000000,2058.05000000,2055.47000000,2057.40000000,69.405678,1
1705298400,1705302000,2057.40000000,2057.60000000,2053.55000000,2054.29000000,63.148222,1
1705302000,1705305600,2054.28000000,2055.57000000,2053.00000000,2055.05000000,64.002335,1
1705305600,1705309200,2055.06000000,2056.96000000,2053.84000000,2055.37000000,64.376714,1
1705309200,1705312800,2055.39000000,2055.89000000,2052.87000000,2054.29000000,62.031887,1
1705312800,1705316400,2054.32000000,2058.59000000,2053.80000000,2056.55000000,64.912003,1
