time_open_sec,time_close_sec,open,high,low,close,tick_volume,spread,real_volume,dow
1759289100,1759289400,3864.10000000,3864.12000000,3861.25000000,3861.25000000,1129,18,0,3
1759289400,1759289700,3861.23000000,3861.78000000,3858.70000000,3860.23000000,1349,18,0,3
1759289700,1759290000,3860.26000000,3861.39000000,3859.19000000,3861.38000000,1310,18,0,3
1759290000,1759290300,3861.39000000,3864.81000000,3861.24000000,3863.65000000,1265,18,0,3
1759290300,1759290600,3863.64000000,3864.14000000,3862.58000000,3863.72000000,1131,18,0,3
1759290600,1759290900,3863.64000000,3863.78000000,3862.16000000,3862.21000000,939,18,0,3
1759290900,1759291200,3862.21000000,3862.31000000,3860.52000000,3860.57000000,1122,18,0,3
1759291200,1759291500,3860.48000000,3862.75000000,3859.61000000,3860.79000000,1220,18,0,3
1759291500,1759291800,3860.77000000,3860.97000000,3859.14000000,3859.25000000,1118,18,0,3
1759291800,1759292100,3859.24000000,3862.97000000,3859.23000000,3862.23000000,1374,18,0,3
1759292100,1759292400,3862.24000000,3864.40000000,3861.43000000,3863.80000000,1270,18,0,3
1759292400,1759292700,3863.79000000,3864.43000000,3862.30000000,3864.17000000,1714,18,0,3
1759292700,1759293000,3864.15000000,3865.11000000,3863.79000000,3864.91000000,1480,18,0,3
1759293000,1759293300,3864.91000000,3865.56000000,3863.84000000,3864.12000000,1305,18,0,3
1759293300,1759293600,3864.10000000,3865.69000000,3863.88000000,3864.95000000,968,18,0,3
1759293600,1759293900,3864.95000000,3866.27000000,3864.80000000,3866.01000000,1053,18,0,3
1759293900,1759294200,3866.03000000,3868.81000000,3865.83000000,3868.43000000,1262,18,0,3
1759294200,1759294500,3868.42000000,3868.91000000,3865.62000000,3867.50000000,1337,18,0,3
1759294500,1759294800,3867.53000000,3868.96000000,3867.48000000,3868.92000000,1312,18,0,3
1759294800,1759295100,3868.92000000,3871.21000000,3868.42000000,3870.84000000,1879,18,0,3
1759295100,1759295400,3870.83000000,3875.44000000,3870.81000000,3873.13000000,2779,18,0,3
1759295400,1759295700,3873.23000000,3874.93000000,3867.37000000,3867.62000000,2226,18,0,3
1759295700,1759296000,3867.63000000,3870.71000000,3866.86000000,3868.06000000,1939,18,0,3
1759296000,1759296300,3868.05000000,3868.88000000,3864.81000000,3865.20000000,1706,18,0,3
1759296300,1759296600,3865.25000000,3867.82000000,3864.80000000,3866.21000000,1485,18,0,3
1759296600,1759296900,3866.20000000,3867.38000000,3864.85000000,3865.39000000,1787,18,0,3
1759296900,1759297200,3865.35000000,3865.70000000,3864.28000000,3865.40000000,1349,18,0,3
1759297200,1759297500,3865.41000000,3866.56000000,3864.54000000,3865.78000000,1253,18,0,3
1759297500,1759297800,3865.78000000,3866.20000000,3864.62000000,3865.92000000,1108,18,0,3
1759297800,1759298100,3865.93000000,3866.90000000,3858.23000000,3860.89000000,1672,18,0,3
1759298100,1759298400,3860.97000000,3864.36000000,3860.66000000,3863.39000000,2171,18,0,3
1759298400,1759298700,3863.40000000,3866.38000000,3859.81000000,3859.85000000,1879,18,0,3
1759298700,1759299000,3859.81000000,3862.27000000,3859.06000000,3861.78000000,1917,18,0,3
1759299000,1759299300,3861.73000000,3863.31000000,3859.64000000,3862.13000000,1437,18,0,3
1759299300,1759299600,3862.09000000,3863.06000000,3861.34000000,3862.85000000,1126,18,0,3
1759299600,1759299900,3862.83000000,3864.12000000,3862.29000000,3863.30000000,1142,18,0,3
1759299900,1759300200,3863.30000000,3864.05000000,3862.72000000,3863.65000000,954,18,0,3
1759300200,1759300500,3863.63000000,3864.33000000,3859.75000000,3860.27000000,2059,18,0,3
1759300500,1759300800,3860.23000000,3860.38000000,3855.64000000,3859.61000000,2207,18,0,3
1759300800,1759301100,3859.62000000,3864.07000000,3859.51000000,3863.89000000,1804,18,0,3
1759301100,1759301400,3863.88000000,3864.74000000,3862.42000000,3863.01000000,1445,18,0,3
1759301400,1759301700,3863.02000000,3863.22000000,3860.65000000,3862.46000000,1331,18,0,3
1759301700,1759302000,3862.47000000,3862.60000000,3861.38000000,3861.99000000,971,18,0,3
1759302000,1759302300,3861.99000000,3864.49000000,3861.76000000,3862.96000000,1183,18,0,3
1759302300,1759302600,3862.94000000,3863.18000000,3858.87000000,3860.46000000,1352,18,0,3
1759302600,1759302900,3860.45000000,3861.76000000,3858.37000000,3860.80000000,1358,18,0,3
1759302900,1759303200,3860.78000000,3861.34000000,3859.99000000,3861.23000000,1039,18,0,3
1759303200,1759303500,3861.21000000,3862.63000000,3860.42000000,3861.37000000,940,18,0,3
1759303500,1759303800,3861.36000000,3861.56000000,3860.47000000,3860.99000000,937,18,0,3
1759303800,1759304100,3861.03000000,3861.46000000,3858.62000000,3858.64000000,1263,18,0,3
1759304100,1759304400,3858.64000000,3858.87000000,3857.62000000,3857.67000000,1216,18,0,3
1759304400,1759304700,3857.70000000,3858.99000000,3857.52000000,3858.87000000,1048,18,0,3
1759304700,1759305000,3858.88000000,3861.57000000,3858.86000000,3860.40000000,1031,18,0,3
1759305000,1759305300,3860.40000000,3863.55000000,3860.40000000,3863.16000000,1247,18,0,3
1759305300,1759305600,3863.16000000,3864.98000000,3862.78000000,3864.86000000,1166,18,0,3
1759305600,1759305900,3864.86000000,3869.92000000,3864.81000000,3869.31000000,2131,18,0,3
1759305900,1759306200,3869.28000000,3869.37000000,3863.29000000,3863.76000000,1970,18,0,3
1759306200,1759306500,3863.74000000,3865.08000000,3863.30000000,3864.20000000,1183,18,0,3
1759306500,1759306800,3864.21000000,3867.69000000,3864.21000000,3867.27000000,1125,18,0,3
1759306800,1759307100,3867.29000000,3868.44000000,3866.31000000,3867.88000000,1137,18,0,3
1759307100,1759307400,3867.88000000,3867.99000000,3864.97000000,3865.73000000,1293,18,0,3
1759307400,1759307700,3865.72000000,3866.28000000,3863.67000000,3865.42000000,1044,18,0,3
1759307700,1759308000,3865.43000000,3866.53000000,3863.20000000,3863.66000000,1033,18,0,3
1759308000,1759308300,3863.67000000,3865.01000000,3862.62000000,3862.86000000,965,18,0,3
1759308300,1759308600,3862.85000000,3863.81000000,3862.17000000,3863.32000000,1156,18,0,3
1759308600,1759308900,3863.32000000,3864.18000000,3862.51000000,3863.34000000,1049,18,0,3
1759308900,1759309200,3863.35000000,3864.27000000,3862.40000000,3863.48000000,1059,18,0,3
1759309200,1759309500,3863.44000000,3864.41000000,3860.22000000,3861.79000000,1686,18,0,3
1759309500,1759309800,3861.79000000,3863.52000000,3859.02000000,3859.43000000,1466,18,0,3
1759309800,1759310100,3859.45000000,3861.04000000,3858.58000000,3858.65000000,1616,18,0,3
1759310100,1759310400,3858.65000000,3858.70000000,3856.16000000,3856.32000000,1707,18,0,3
1759310400,1759310700,3856.32000000,3857.35000000,3853.37000000,3857.27000000,2154,18,0,3
1759310700,1759311000,3857.28000000,3861.85000000,3857.13000000,3861.85000000,1633,18,0,3
1759311000,1759311300,3861.85000000,3862.26000000,3859.13000000,3861.00000000,1455,18,0,3
1759311300,1759311600,3861.00000000,3862.38000000,3859.90000000,3860.99000000,1424,18,0,3
1759311600,1759311900,3860.99000000,3864.76000000,3860.49000000,3863.82000000,1864,18,0,3
1759311900,1759312200,3863.83000000,3864.86000000,3862.79000000,3863.69000000,1690,18,0,3
1759312200,1759312500,3863.66000000,3863.75000000,3860.79000000,3862.18000000,1554,18,0,3
1759312500,1759312800,3862.20000000,3862.20000000,3857.85000000,3859.17000000,1898,18,0,3
1759312800,1759313100,3859.17000000,3862.25000000,3858.98000000,3861.20000000,2127,18,0,3
1759313100,1759313400,3861.18000000,3863.63000000,3860.22000000,3862.72000000,1835,18,0,3
1759313400,1759313700,3862.73000000,3867.16000000,3862.70000000,3866.79000000,1896,18,0,3
1759313700,1759314000,3866.78000000,3868.69000000,3866.09000000,3868.46000000,1768,18,0,3
1759314000,1759314300,3868.48000000,3870.37000000,3868.05000000,3868.12000000,1999,18,0,3
